title,og_title,url,lang,content,publishedDate,dateObject,src
"Tribal Boy Kills Three With Axe, Injures 1 In Tripura","Tribal Boy Kills Three With Axe, Injures 1 In Tripura",https://www.ndtv.com/cities/tribal-boy-kills-three-with-axe-injures-1-in-tripura-2023510,,"The opposition Congress, however, accused the BJP of masterminding the incident (Representational)
A young tribal boy killed three people including a woman and injured another in northern Tripura after a brief altercation late on Sunday night, the police said today.
""After some quarrel, a minor tribal boy killed three tribals with an axe at Paiseram Karbari Para village under Manikpur police station late on Sunday night,"" Dhalai district police chief Sudipta Das told news agency IANS.
He said that the accused, now in police custody, might be a juvenile and that's why they are not disclosing his details.
The victims are Henabati Tripura, 45, Kenachan Chakma, 68, Subal Kanti Chakma, 45 while Priyalal Chakma was injured and admitted to a hospital.
The opposition Congress, however, accused the ruling BJP of masterminding the incident to vitiate the atmosphere during the Lok Sabha elections.
""Days before the second phase of elections in the Tripura East Lok Sabha constituency on Thursday, the BJP has staged this incident as the murderer is a BJP activist,"" Congress vice-president Tapas Dey told the media.
The BJP strongly denied the allegations.
Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23.",15 Apr 2019,2019-04-15 20:35:56,ndtv
Violent protests in Kishtwar as RSS leader cremated,Violent protests in Kishtwar as RSS leader cremated,https://www.tribuneindia.com/news/jammu-kashmir/violent-protests-in-kishtwar-as-rss-leader-cremated/756372.html,,"Kishtwar, April 10
Violence broke out in Jammu and Kashmir’s Kishtwar town on Wednesday as angry mourners clashed with police during the funeral procession of the senior RSS functionary killed in Tuesday’s terror attack along with his PSO, prompting the Army to stage flag march in the area.
No one was injured in the clashes, officials said. Curfew remained imposed for the second day in the communally-sensitive district following the killing of senior Rashtriya Swayamsevak Sangh (RSS) functionary Chanderkant Sharma and constable Rajinder Kumar, even as police intensified searches to nab the assailant.
According to eye-witnesses, a large number of people came out of their houses to take part in the funeral procession of Sharma. In Dak Banglow area, an irate crowd held protests and raised slogans against Pakistan and terrorists.
The group soon turned violent and pelted stones on police personnel deployed there. During the clash, police resorted to cane charge and teargas shelling to disperse the protesting mourners and brought the situation under control.
The slain RSS leader was cremated at Chowgan ground in a ceremony attended by Sangh leaders, including its J-K chief Suchet Singh, BJP state president Ravinder Raina and former deputy chief minister Dr Nirmal Singh. The mourners shouted slogans like ‘long live Chanderkant’.
After the cremation, the crowd turned violent again and stormed the office of the Superintendent of Police. The protesters ransacked some furniture and pelted stones. Police used cane charge to disperse them, they said.
The Army conducted flag march in the city after the incidents.
“There were incidents of violent protests (at two places). Some protesters entered SP office, and ransacked of some furniture item. But situation has been brought under control and curfew is imposed,” SSP Kishtwar Shakti Pathak told PTI.
“There were some incidents, because tempers were running high. However, the situation has been brought under control”, Divisional Commissioner, Jammu, Sanjeev Verma told PTI.
Constable Rajinder Kumar was cremated in his native Mughal Madian area of Kishtwar where hundreds of people gathered.
Dogra Swabhimaan Sangthan (DSS) chief and candidate for Jammu and Udhampur Lok Sabha seats, Choudhary Lal Singh, was Wednesday detained with his supporters when they were on their way to Kishtwar, officials said.
The former minister was detained in Assar area of the Doda district, they said.
“There is strict enforcement of curfew. Army continues to remain deployed,” Deputy Commissioner, Kishtwar, A S Rana said.
There were reports of brief protests in some areas in the old city against the killings, Rana said, adding strict vigilance is being maintained in all sensitive areas of the district.
The body of the senior RSS functionary was airlifted to Kishtwar from Jammu.
Police and security forces have launched a massive cordon and search operation in various areas to track down the killer, officials said.
A militant had opened fire on the duo at a health centre here. After the incident authorities had imposed curfew and called the Army to maintain law and order.
Condemning the terror attack, the RSS had termed it a “security lapse” and called for extending the Army’s ‘Operation Allout’ in the hilly district to prevent spread of terror in Jammu region. — PTI",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Fire and Emergency Deptt aspirants protest,Fire and Emergency Deptt aspirants protest,https://www.greaterkashmir.com/news/kashmir/fire-and-emergency-deptt-aspirants-protest/,en,"Aspirants of Fire and Emergency department who had applied for various departmental post six years ago held a protest on Saturday demanding issuance of select list.
Scores of these aspirants from various districts across Kashmir assembled at press enclave amid rains holding placards to press for their demands.
The aspirants alleged that despite High court directions, the department is not serious about issuing the list.
“Since 2013 when the posts were advertised we have faced a lot of problems. A court stay was bought to these posts which we fought by hiring a lawyer. We come from humble backgrounds and had to pool money to hire a lawyer. Now recently court passed three directions to the department directing it to issue select list within 15 days, but there is no response by the department,” said Mudasir Ahmed, an aspirant from Srinagar.
“In these 6 years many of us have crossed the upper age bar. This is ending our chances of what could be our last hope of earning a stable livelihood,” he said.
Later the aggrieved aspirants assembled at Fire and Emergency Headquarters at Batamaloo and held a protest to press for their demands.
The aspirants said that 877 posts were advertised in which around 12,000 aspirants applied and around 7000 aspirants were shortlisted for written exam.
In February Greater Kashmir had reported that the vacant posts in department comprise 971 posts of fireman, 174 posts of fireman drivers and 114 posts of mechanical drivers.",13 Apr 2019,2019-04-13 20:17:23,greaterkashmir
"SAD leader ‘assaults’ supporter of Congress MLA, six booked","SAD leader ‘assaults’ supporter of Congress MLA, six booked",https://www.tribuneindia.com/news/amritsar/sad-leader-assaults-supporter-of-congress-mla-six-booked/759071.html,,"Rubbishes allegations, accuses complainant of threatening SAD workers
Jaiswar
Tribune News Service
Amritsar, April 15
The city police have booked Talvir Singh Gill, SAD in-charge of Amritsar South constituency, for allegedly assaulting and injuring a construction contractor, said to be a supporter of Congress MLA Inderbir Singh Bolaria, here on Sunday. Gill is also media advisor to former Punjab cabinet minister Bikram Singh Majitha.
Besides, five others have also been booked for the assault. Besides Gill, among others, who have been booked, are Ravi Sher Singh of Partap Nagar and Sandeep Singh, alias Sunny, of Baba Budha Ji Colony. A case under Sections 323, 324, 506, 148 and 149 of the Indian Penal Code has been registered against them.
Complainant Amninder Singh, a resident of Pritam Nagar, located on 100-Futa Road said he, along with his cousin and a friend, were having dinner at a hotel at the old jail road on Saturday night when his friend Prince received a phone call from the accused. They called him outside the hotel where the accused allegedly hurled abuses “only because they are supporters of Inderbir Singh Bolaria”, Congress MLA from Amritsar South constituency. He said the accused attacked him with a baseball bat and sharp weapons.
Hearing their cries, security staff of the hotel reached there following which the accused fled away in their SUVs. The FIR further states that Talvir Singh Gill had in the past threatened him of dire consequences if he did not stop supporting and roaming with the Congress MLA. He also feared for his life and property from the accused.
When contacted, Talvir Singh Gill said the case was registered under political influence. He said, “Amninder is a criminal who has been threatening the SAD workers in the area. A criminal case was registered against him in March, but the police dithered about taking action against him. “
According to Gill, he went to meet a person when he came out and had a verbal duel on Saturday. “I tried to pacify those quarrelling. In fact, I saved him from others and took him inside a hotel room, but they painted the scenario in a different way,” he added.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
"BKU Sidhupur stages protest, wants to start paddy cultivation from June 5","BKU Sidhupur stages protest, wants to start paddy cultivation from June 5",https://www.tribuneindia.com/news/bathinda/bku-sidhupur-stages-protest-wants-to-start-paddy-cultivation-from-june-5/757747.html,,"athinda, April 12
Members of the BKU Sidhupur on Thursday staged a protest in front of the District Administrative Complex demanding that the government must issue a notification stating that farmers could start paddy cultivation from June 5 onwards. The protesters blocked the Circuit House road causing traffic snarls on the Bathinda-Mansa road.
Later, the protesters gheraoed the mini-secretariat and raised slogans against the state government and the district administration. As administration officials did not pay heed to the protesters, they blocked the road leading to the DC’s residence.
The protesters said the department was misleading the farmers over the depleting groundwater and keeping the paddy plantation date from June 20. They said as the policy was affecting the farmers, this would not be tolerated. They said the late planting of the paddy crop led to many problems as cold weather conditions led to a hike in the moisture content in the crop and farmers faced the problem of selling the crop at the grain market. Left with no option, they had to sell their crop at a low price to private players.
Jagjit Singh, president of the union, said, “In the previous season when paddy cultivation was started after June 20, farm produce with moisture content was lying unattended at grain markets across the state. After which members of different farmer unions had staged a string of protests and the government had assured us that from the next season, paddy cultivation would be started on June 5. But that promise was never materialised and farmers are again at the receiving end. There is a notification issued by the government.”
Jagjit Singh added, “Owing to the indifferent attitude of the state government, farmers are being looted every year as they are coerced to sell their crop produce at lower rates. If the government does not issue a notification to start paddy cultivation before June 5, we would be forced to intensify our stir in the coming days.” TNS",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
"As unpaid bills mount, Jet Airways’ ground staff rise in protest","As unpaid bills mount, Jet Airways’ ground staff rise in protest",https://www.thehindubusinessline.com/economy/logistics/as-unpaid-bills-mount-jet-airways-ground-staff-rise-in-protest/article26823184.ece,en,"“I have to pay the bill for my daughter’s surgery but I am unable to do so as I have not been paid my salary,” said a 25-year ground staffer of Jet Airways. He, along with 200 other employees associated with the All India Jet Airways Staff and Officers Association, marched from the international airport here to Siroya Centre, the headquarters of Jet Airways, on Friday, demanding immediate payment of salary dues.
March pay dues
A security supervisor who has been with the company for 10 years said: “I have a two-year-old daughter and I have been saving up for her education. However, since I haven’t received my salary, I had to pay my monthly expenses from that fund.”
The ground staff have not received their salary for March.
Kiran Pawaskar, an NCP leader and vice-president of the employees’ association, marched along with the staff. Later in the evening, Pawaskar and a few ground staff members submitted a police complaint.
Another ground staffer who has worked with the airline for nine years, said: “For the past five years we have been listening to vague promises from the management. We haven’t got an increment for the past five years because the company had been making losses. We have been quite supportive towards the company and we do not want it to fall; however, we deserve clarity on the future of the company and our salary.”
A senior customer care executive at the airport said: “The management should see what their staff goes through at the airport when stranded passengers yell at them. We don’t blame the passengers, they have paid money to buy expensive tickets.” He recalled the fury of a female passenger who spent ₹2 lakh on a flight ticket to Amsterdam and was stranded when the flight got cancelled.
Call for patience
Rahul Taneja, Chief People Officer, Jet Airways, tried to pacify the employees, saying, “We know the times are tough, and it is difficult to handle things. But we request you to please be patient. As soon as we get interim funding from SBI, we will transfer the funds.”
But Taneja’s plea did not cut ice. “It is a question of survival. The pilots and engineers are skilled and can get a job in any airline, however, the ground staff, especially the senior ones, will find it difficult,” said Pawaskar.
“The management said that if SBI transfers even a small amount, it will pay the employees. However, no fund transfer has happened so far, hence we will lodge an FIR against Naresh Goyal, the promoter of Jet Airways, Vinay Dube, the airline’s CEO, and Rajnish Kumar, the chief of SBI.” he added.
Meanwhile, Jet pilots have decided to gather at the airline’s headquarters on April 15 to seek clarity. The pilot body , National Aviators Guild, late on Thursday night sent a message to all the 1,000 pilots associated with the body about the protest. The pilots have also decided to call for an open house on the same day.",12 Apr 2019,2019-04-12 22:05:22,thehindubusinessline
Inmates create ruckus at Ambala observation home,Inmates create ruckus at Ambala observation home,https://www.tribuneindia.com/news/chandigarh/inmates-create-ruckus-at-ambala-observation-home/757998.html,,"Damage TV sets, CCTV cameras, bulbs & some glasses
Ambala, April 13
Some inmates created ruckus at the observation home here last evening. According to information, a verbal spat broke out between some inmates over a television set following which enraged inmates damaged at least six television sets, a couple of CCTV cameras, bulbs and some glasses.
According to the information, parents of an inmate gave a TV set for their child at the observation home. However, the child got bail, but the TV was still there. Some inmates shifted the television, which was opposed by others that led to the ruckus.
The inmates, reportedly four, who started creating ruckus, belong to Sonepat. They are lodged here for committing heinous crimes, including murder, rape and under the Arms Act.
District Programme Officer (DPO) Baljeet Kaur said: “Some inmates clashed over a television set. They damaged some TV sets, glasses and CCTV cameras. They also manhandled warders. There were no complaints from the inmates regarding any issue earlier. The inmates, who created ruckus, were above 18 years of age. We have already written to the principal magistrate to shift them as they have been disturbing the atmosphere. Action has been taken in this matter and a DDR has also been lodged. The situation is under control now.”
The DPO was at the observation home till 1:30 am along with the DSP and the observation home superintendent.
An official, on condition of anonymity, said the police had to use force to control the inmates at the observation home in which some inmates reportedly sustained minor injuries.
After getting information, Dr Pratibha Singh, Member, Haryana State Commission of Protection of Child Rights, visited the observation home today.
She said: “Some lapses and irregularities have come to the notice. The matter has been brought to the knowledge of the commission’s chairperson and action will be taken accordingly.”
The member said: “Shortage of staff, presence of overage children and absence of a counsellor at the observation home are some of the points that need to be addressed at the earliest. Continuous counselling of inmates is a must at the observation home. There are 66 inmates at the observation home, while the number of staff is only six. Today, I can’t see the CCTV footage, but we will see it soon to know what actually happened there.”
The Child Welfare Committee said the matter hadn’t been brought to its notice yet and it would visit the observation home on Sunday. — TNS",14 Apr 2019,2019-04-14 08:09:00,tribuneindia
Post-poll clashes between TDP and YSRC continue in Guntur,Post-poll clashes between TDP and YSRC continue in Guntur,http://www.newindianexpress.com/states/andhra-pradesh/2019/apr/13/post-poll-clashes-between-tdp-and--ysrc-continue-in-guntur-1963803.html,,"By Express News Service
GUNTUR: Stray clashes between TDP and YSRC supporters continued in some places of Guntur district even on Friday, a day after the polling was held in the State. Cases were registered at four different places, where clashes took place.
Tension had prevailed in some villages in Gurajala, Narasaraopet and Chilakaluripet Assembly constituencies where the TDP and YSRC supporters attacked each other after completion of polling on Thursday. The TDP and YSRC activists clashed at Gurajala, Julakallu, Tungapadu and Irlapadu villages in different constituencies. TDP activists pelted stones on Satyanarayana Theatre run by YSRC leaders, who in turn pelted stones on the TDP group at Gurajala.
ALSO READ | Two killed in TDP-YSRC clash as violence rocks Tadipatri
The police resorted to lathi-charge to disperse the clashing groups. Further, they deployed additional force to restrain people from indulging in untoward incidents in the rural town of Gurajala. A group of YSRC activists, as per reports, attacked a woman, who did not exercise her franchise at Jullakallu in Piduguralla mandal of the same Assembly segment. TDP activists lodged a complaint with the police and later as a retaliatory measure, they also pelted stones on YSRC activists.
Both these groups clashed against each other again in the early hours of Friday. Damacherla Vasu, Damacherla Dhanunjay and Damacherla Nagarjuna of YSRC were injured in the incident. All the injured were taken to a private hospital.
Sattenapalli DSP V Kaleshvali Rao rushed to the spot, along with Piduguralla urban CI P Veerendra, and brought the situation under control. Additional force was deployed to dissuade people from being party to untoward incidents and people were warned that the police would take stern action against anti-social activities in the village.
A villager said that YSRC activists carried out an attack on a TDP worker. As a result of this, a group of 20 TDP activists attacked YSRC supporters while they were having tiffin at a hotel at Julakallu. Four persons were injured in the incident and were immediately shifted to hospital. Meanwhile, TDP and YSRC groups clashed at Irlapadu of Chilakaluripet Assembly constituency. The YSRC activists carried out an attack on TDP cadre on Thursday night and two persons sustained minor injuries and they lodged a complaint with the police. After complaining to the police, the TDP activists too attacked YSRC men in retaliation.
As the TDP attack news spread among the villagers, the YSRC activists confronted the TDP men and both the groups clashed with each other. Chilakaluripet rural CI S Vijaya Chandra with police force reached the spot after coming to know about the incident through locals, but both the TDP and YSRC activists had fled. So, the police started investigation by registering a case and shifted the injured to Narasaraopet government hospital.
Further, TDP activists attacked YSRC leader G Venkatesh, who monitored the polling process for the party as a agent at Tungapadu in Narasaraopet segment as the TDP leaders tried to drag him out of the booth, but he foiled the TDP bid and went about his work on Thursday. So, the TDP workers again tried to carry out an attack on him, but the police prevented them by using force.
The TDP activists carried out an attack on him and his relative Haribabu, so the YSRC activists attacked TDP cadres in the village. The police booked cases against both the parties. According to Rompicherla Sub-Inspector S Venkata Rao, TDP activist Sivanagaraju and YSRC workers G Hari Babu and G Venkatesh were injured in the clashes and cases were registered against both the groups.
The TDP leaders lodged a complaint on behalf of party candidate Dr Ch Aravinda Babu, who got injured at Uppalapadu village in Narasaraopet Assembly segment.
YSRC sitting MLA Dr Gopireddy Srinivasa Reddy also lodged a complaint against TDP leaders, who tried to occupy the polling booth by kidnapping YSRC agent at Srinivasa Girijana Colony of Narasaraopet.The district Superintendent of Police appealed to the political leaders not to visit the villages due to the prevailing tense situation.
He stated that normalcy will soon return in the villages as the clashing groups will turn calm. The SP said that the police had already deployed additional force to restrain anti-social activities in the villages, so the leaders should cooperate with the police in maintaining law and order.",13 Apr 2019,2019-04-13 00:00:00,newindianexpress
"Amri Karbi tribe demands separate district in Assam, ST(H) status","Amri Karbi tribe demands separate district in Assam, ST(H) status",https://www.thehillstimes.in/regional/amri-karbi-tribe-demands-separate-district-in-assam-sth-status/,en,"Want create site? Find Free WordPress Themes and plugins.
Over 5 lakh Amri Karbis living in seven districts without ST recognition
HT Bureau
GUWAHATI, April 10:Several hundred students and youth of Amri Karbi community on Wednesday marched towards Raj Bhawan here seeking a separate Autonomous district “Amri Longri” comprising parts of Morigaon, Nagaon and Sonitpur districts of Assam under Sixth Schedule to the Constitution of India.
“We are different from the Chinthong and the Ranghang Karbis. We want the government to create an autonomous district for preserving our royal heritage,” Amri Karbi National Council (AKNC) president Padum Ingti said in a memorandum submitted to Governor Jagdish Mukhi here.
Ingti said the Amri Karbis had a separate identity during the 18th century and they were ruled by their own tribal kings during the Ahom regime.
“We have a population of over 4 lakh in the state. Most of them are in Kamrup Metro and Rural districts,” he said. They also demanded inclusion of Amri Karbi Tribes in Schedule Tribes (ST-H) list of Assam.
The proposed Autonomous Council would be set up carving out areas from the seven districts of Assam – Kampur, Morigaoan, Golaghat, Sunitpur, Nagaon, Cachar and Dubri.
There are about five lakh members of this tribe who were denied ST status even after 70 years of independence of the country, while others such as the Chinthong and Ronghang had been included in this category.
Accusing the government of not taking care of them, the memorandum said, “We should not be clubbed with the Karbis of Karbi Anglong. We have a district identity. There should a separate Autonomous Council exclusively for the Amri Karbis. A development council cannot fulfill our requirements.”
The organisation also urged the Governor to stop the proposed Assam Rifles camp at Domora Pathar under Dimoria Tribal Block.
It also urged to stop Guwahati Municipal area expansion towards Dimoria Tribal Block and Rani Tribal Block and said it would threat the existence of the tribal belts and blocks in the Kamrup district.
The AKNC demanded constitutional protection to tribal belts and tribal block across the state.
The memorandum also demanded the government for granting ST (H) status to Amri Karbi community by implementing Article 342 in the Constitution of India.
The memorandum further demanded implement the resolutions resolved in the meeting between Assam government and six organisations of Amri Karbi Six presided over by WPT & BC minister.",11 Apr 2019,2019-04-11 10:33:16,thehillstimes.in
"RSS leader, PSO killed in militant attack in Kishtwar; curfew imposed","RSS leader, PSO killed in militant attack in Kishtwar; curfew imposed",https://www.thehindu.com/news/national/other-states/gunmen-open-fire-at-rss-leader-pso-in-kishtwar/article26779680.ece,en,"Two days ahead of the Lok Sabha elections in Jammu & Kashmir, suspected militants killed a Rashtriya Swayamsewak Sangh (RSS) leader and his personal security officer (PSO) inside a hospital in the Chenab Valley’s Kishtwar district on Tuesday.
Chanderkant Sharma, who worked as a medical assistant at the Kishtwar District Hospital’s out-patient (OPD) department, was shot dead by unknown gunmen who opened indiscriminate fire at him and his PSO around noon in the hospital premises.
The PSO, Rajinder Kumar, died on the spot, while Sharma was shifted to hospital in critical condition and succumbed later.
“Eyewitnesses suggested there were two militants who opened fire at the protected person and fled towards upper reaches of Samna Colony,” said Inspector General of Police (IGP), Jammu, M.K. Sinha.
A curfew was imposed in the Kistwar town and Doda, after demonstrations broke out in Kishtwar, Bhaderwah’s Seri Bazaar and Jammu. Internet services were also stopped as a precautionary measure.
The victim, according to officials, was provided with additional security after suspected militants killed BJP leader Anil Parihar and his brother in similar fashion in Kishtwar on November 1 last year. The police and the BJP top leaders had claimed that militants were behind the assassination of the BJP leader then.
The first phase of polling in J&K will start on April 11 and the Udhampur-Doda seat, including Kishtwar area, will witness elections on April 18.
National Conference vice president Omar Abdullah and Peoples Democratic Party president Mehbooba Mufti condemned the killing.
“Unequivocally condemn the brutal murder. There can be no place for targeting political operatives like this. I hope the residents of the area will cooperate with the administration and maintain calm,” said Mr. Abdullah.
Ms. Mufti said she sees the incident as “part of a bigger plan to incite communal tension”. “I urge the Governor to initiate a probe and appeal to people of Kishtwar to maintain peace and harmony,” she said.
Governor Satya Pal Malik and police administration reviewed the safety and security aspects of all the important installations, establishments and public places.",09 Apr 2019,2019-04-09 14:34:24,thehindu
Sudden rail roko protest at Navsari derails traffic for 4 hours,Sudden rail roko protest at Navsari derails traffic for 4 hours,https://timesofindia.indiatimes.com/city/surat/sudden-rail-roko-protest-at-navsari-derails-traffic-for-4-hrs/articleshow/68821492.cms,en,"A section of the protesters on the tracks at Navsari railway station
Download The Times of India News App for Latest City
SURAT: A flash rail roko agitation by daily commuters at the tracks on Navsari railway station resulted in 18 trains on both up and down lines of Mumbai-Ahmedabad route running late on Wednesday morning. The regular passengers were demanding old coaches to be fitted to train no 12929 Valsad -Dahod Intercity Express so as to accommodates more passengers.After four hours of melee, 10 trains coming from Mumbai including Shatabdi Express, Delux Train to Delhi, Gujarat Express among others, had to be stopped at different stations leading to almost four hours’ delay. Eight Mumbai-bound trains also ran 3-4 hours late. However, after the assurance by railway authorities to set things right and meet all the demands made by the commuters within a week’s time, the agitation was called off and normalcy was finally restored .According to a rail official at Navsari station the commuters stopped the Valsad-Dahod intercity which arrived at the station at 7.50 am and didn’t let it leave. The miffed passengers were demanding bigger coaches as the new ones that had been fitted by the railways on the intercity were unable to accommodate the large number of daily commuters.A traveller from Navsari who commutes to Surat daily in the train said, “ We used to have three tier coaches in the train regularly that can accommodate large number of people even on the parcel seat and in the coaches which had a capacity of 102 people. Nearly 300-400 passengers travel to work daily. However, for the past 15 days they have replaced those coaches with the new Rajdhani-type coaches that doesn’t have space for parcel seat. Therefore, not more than 105 people can travel in the coach,” he alleged. “Despite our repeated pleas, nobody was paying heed to our plight and so we were left with little option but to sit on a flash agitation. Large number of women too joined our protest .”Station director at Surat station, SN Yadav, had to rush to Navsari to pacify the crowd and assure them of adding the old type coaches which could accommodate more people. Later Yadav told TOI, “We will take care of the demands in a week’s time. We plan to replace the new coaches with similar type of old coaches so that more people can travel in the train. Trains restarted at 12.10 pm and normalcy was restored. However, the agitation resulted in the cancellation of the Surat-Bharuch memu shuttle for the day.”",06 May 2019,2019-05-06 11:37:00,timesofindia.indiatimes
Congress MLAs’ dharna for crop insurance information,Congress MLAs’ dharna for crop insurance information,https://timesofindia.indiatimes.com/city/ahmedabad/cong-mlas-dharna-for-crop-insurance-info/articleshow/68786619.cms,en,"Representative image
Download The Times of India News App for Latest City
GANDHINAGAR: Three Congress MLAs and farmer leaders associated with the Congress held a dharna at the agriculture director’s office in Gandhinagar to get details of crop insurance paid to Gujarat’s farmers.Three MLAs and leaders sat in the chamber of the director agriculture from morning till late night after he refused to share the details. The MLAs were Morbi MLA, Brijesh Merja, Jamjodhpur MLA, Chirag Kalaria and Chotila MLA, Rutik Makwana.Merja told TOI, “Earlier on several occasions we visited the director agriculture and concerned offices to represent problems faced by farmers in getting crop insurance claims. However they did not respond. Today, we came to represent and after giving a memorandum, demanded details of crop insurance paid to the farmers.”Merja added, “However on pretext of the election code of conduct the director refused to provide us any information and so we decided to sit on dharna in his office. We have decided not to leave this office till the government furnishes us the details.’’",05 May 2019,2019-05-05 16:14:58,timesofindia.indiatimes
"After BJP, two CPM Lok Sabha candidates allege assault in Bengal; TMC denies charge","After BJP, two CPM Lok Sabha candidates allege assault in Bengal; TMC denies charge",https://www.hindustantimes.com/lok-sabha-elections/after-bjp-two-cpm-lok-sabha-candidates-allege-assault-in-bengal-tmc-denies-charge/story-oVm9xeGWLoXKt79Vs2j95L.html,en,"Communist Party of India (Marxist) candidates from Asansol and Diamond Harbour Lok Sabha seats in Bengal were assaulted on Tuesday, allegedly by Trinamool Congress (TMC) workers. The incidents added to rising tension in the districts ahead of the first phase of voting on April 11.
Gauranga Chatterjee, the CPI(M) candidate pitted against Bharatiya Janata Party’s (BJP) outgoing MP and Union minister of state Babul Supriyo and former film star Moon Moon Sen of TMC at Asansol in West Burdwan district, was assaulted in the Barabani area while he was campaigning. Chatterjee, who is also the CPI (M) district committee secretary, was admitted in Asansol district hospital after he and his supporters were beaten up with bamboo sticks.
Within hours of this incident, Fuad Halim, a doctor and son of former West Bengal assembly speaker Hasim Abdul Halim was assaulted in the Falta area of Diamond Habour constituency in South 24 Parganas district where he is contesting against Bengal chief minister Mamata Banerjee’s nephew and outgoing MP, Abhisek Banerjee.
Halim and a local CPI(M) leader were taken to the district hospital for treatment. The incident took place on NH-117 while Halim was campaigning.
In both the constituencies, Marxists accused TMC of carrying out the attacks, a charge ruling party leaders denied immediately. South 24 Parganas superintendent of police Srihari Pandey said police will conduct a probe once a written complaint is received.
In Asansol, former CPI(M) MP Bangshagopal Choudhary said, “TMC supporters assaulted Chatterjee when he was getting into a car after addressing a meeting. TMC is trying to create panic.”
CPI (M) supporters staged an agitation outside the office of the Asansol police commissioner.
TMC refuted the allegation. “Why should we attack CPI (M)? The assault is a fallout of squabbles in their party,” alleged Bidhan Upadhaya, TMC MLA from Barabani.
Two BJP candidates earlier accused TMC of carrying out attacks on them. Last week, Nisith Pramanik, the BJP candidate from Cooch Behar, which goes to the polls in the first phase on April 11, alleged that he was beaten up.
Bharati Ghosh, the former IPS officer contesting from Ghatal, alleged that her car was stoned at Daspur in West Midnapore district.
Incidentally, this is not the first time Gauranga Chatterjee, a former MLA, has been roughed up. He was allegedly beaten up TMC members inside the Bengal assembly in December 2012. His party colleague Deblina Hembram, who is contesting from Jhargram in West Midnapore district this year, was also beaten up on that day.
More political clashes were reported on Tuesday. At Jamuria in Asansol constituency, BJP and TMC workers clashed during a roadshow of Supriyo where his controversial election jingle was being allegedly played despite a ban by Election Commission.
Three BJP and three TMC supporters were injured in a clash at Bhejina village in Birbhum district.
First Published: Apr 09, 2019 20:35 IST",09 Apr 2019,2019-04-09 20:35:35,hindustantimes
RJD-NDA supporters clash at polling booth in Bihar’s Nawada,RJD-NDA supporters clash at polling booth in Bihar’s Nawada,https://www.asianage.com/india/politics/110419/rjd-nda-supporters-clash-at-polling-booth-in-bihars-nawada.html,,"RJD supporters reportedly resorted to physical violence and started pelting stones which resulted in NDA supporters getting injured.
Nawada: Clashes broke out allegedly between Rashtriya Janata Dal (RJD) and National Democratic Alliance (NDA) supporters on Monday at booth number 270 in Nawada while polling was underway.
The NDA supporters alleged that the RJD supporters had forced their way into the polling booth and were forcing women to vote for their candidate. NDA supporters intervened to stop them which led to the clash.
As soon as the Presiding Officer arrived, RJD supporters reportedly resorted to physical violence and started pelting stones which resulted in NDA supporters getting injured.
Speaking to reporters, NDA supporter Sujit Kumar claimed, ""Members of the Lalten (Lamp, RJD's party symbol) party had entered the polling booth and were forcing women to vote for their candidate. We tried to stop them but to no avail. We summoned the Presiding Officer to the booth. As soon as he arrived, they (RJD supporters) resorted to physical violence and stone pelting.”
When some RJD supporters were asked by reporters for their comments, they refused to speak.
Police have reached the polling booth post the clashes.
Bihar will see polling in all seven phases of the Lok Sabha elections beginning April 11 and ending on May 19. The results will be declared on May 23.
Keep yourself updated on Lok Sabha Elections 2019 with our round-the-clock coverage -- breaking news, updates, analyses etc all. Happy reading.",11 Apr 2019,2019-04-11 15:43:00,asianage
50-year-old temple priest found murdered at Kartarpur in Jalandhar,50-year-old temple priest found murdered at Kartarpur in Jalandhar,https://www.tribuneindia.com/news/punjab/50-year-old-temple-priest-found-murdered-at-kartarpur-in-jalandhar/755142.html,,"Aparna Banerji
Tribune News Service
Jalandhar, April 8
Balbir Kumar, a 50-year-old priest working at the Baba Balaknath temple was murdered in the wee hours of Monday at Kartarpur near here.
Tension prevailed in the area after the attack as police visited the spot.
Armed assailants attacked the priest who was found profusely bleeding at 3.30 am as a ‘sevadar’ went to the temple.
People gathered after hearing the sevadar’s cries for help and called the 108 ambulance to take him to the civil hospital.
However, owing to delay in getting medical help, he died at the hospital.
The temple is located at Khatika Mohalla at Sadarpur in Kartarpur. No one reportedly saw the assailants.
While the identity of the assailants hasn’t been ascertained, police sources said a Jammu-based devotee, a regular at the temple, is suspected to be behind the attack.
An FIR has been registered under Section 302 of the IPC against unidentified people.
Kartarpur DSP Ranjit Singh said, “The priest was found injured in the wee hours of Monday. Since the assailants have fled, their identities or whereabouts weren’t known. But the police are looking for them.”",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
